,xml_filenames,string,date_notBefore,date_notAfter,date_exact,date_cert
0,iAph150305.xml,  ακα εδεμο ωζαινο  κεῖμαι  δυ ου σεμνου νοσοτ ,0101,0300,none,low
1,iAph120632.xml, ἡ σορὸς καὶ αἱ ὑποκείμεναι ἰσῶσται τέσσαρες κατεσκευασμέναι εἰσὶν ὑπὸ Αὐρηλί- ,0101,0300,none,no value
2,iAph090111.xml, σωτῆρι  καὶ εὐεργέτῃ  ,0001,0300,none,no value
3,iAph080072.xml,"

χιου  ",0101,0600,none,no value
4,iAph080216.xml,ΛΗΣ ,0001,0100,none,low
5,iAph110065.xml,  ἕτερος δὲ οὐδεὶς ἕξει ἐξουσίαν ἐνθάψε τινὰ ἐν τῇ σορῷ ἢ ἐκθάψε ἐπεὶ ἔστε ἀσεβὴς καὶsic  ἐπάρατος καὶ τυμβωρύχος  καὶ προσαποτείσει τῷ ἱε ρωτάτῳ ταμίῳ ἀργυρίου  μυριάδας τρίς τῆς ἐπιγραφῆς ἀπετέθη ἐς τὸ  ἀρχεῖον ἀντίγραφον ,0301,0400,none,low
6,iAph090039.xml,Ἰουλίαν Σεβαστὴν Σεβαστοῦ θυγατέρα  Ἥραν ,0014,0069,both,no value
7,iAph120209.xml,ονισαπεθεμην,0101,0300,none,low
8,iAph050107.xml,ΩΝ ,0001,0400,none,no value
9,iAph020509.xml,ΕΥΤ ,0001,0300,none,no value
10,iAph080701.xml, Τροφίμη Εἰρηνίῳ  νι ἐσσεδαρίῳ μνείας χάριν ,0001,0400,none,no value
11,iAph130145.xml, ΙΙ  εἰς δὲ τὴν  σορὸν16//18   ἕξει ἐξουσίαν  τεθῆναι εἰς  καὶ Γενέθλιον  τὴν γυναῖκα τοῦ υἱοῦ αὐτου   γηράσασαν αὐτῷ   ἢ ἀνοῖξαι τὴν σορόν ἔσται ἀσεβὴς καὶ ἐπάρατος καὶ τυμβωρύχος καὶ ἀποτείσει τῇ θεᾷ  Ἀφροδείτῃ καὶ εἰς τὸν κυριακὸν Καίσαρος  φίσκον δηνάρια ε ὧν τὸ τρίτον ἔστω τοῦ ἐκδικήσαντος ταύτης δὲ τῆς ἐπιγραφῆς ἀντίγραφον ἀπόκειται εἰς τὸ χρεοφυλάκιον ἐπὶ στεφανηφόρου  ΚΑΛ   ,0101,0300,none,low
12,iAph080042.xml,"



ιι


σδ

υι

 ",0101,0300,none,no value
